TEXTS,RESULT
"(유아의 경우, 1회 10ml)
·특이체질의 경우 부작용이 있을 수 있으니 주의하세요.",0
"NON
노니주스
NONI
노니주스
100
ORIG
100%
노니주스 노니주스
ORIGINAL NONI 100 %
물방울 섞이지 않은 노니 원역
ORIGINAL NONI 100 %
물 한방울 섞이지 않은 노니 원역
NONI 100 %
1,000ml (400kca
NONI 100%
1,000ml (400kcal)
제품명 노니주스 식품유형 과·채주스 원재료명 및 함량 노니(베트남) 100%
수입원 제품별도표시 내용량 1000ml(400 kcal) 원산지 베트남
주의사항 직사광선을 피하여 습기가 적고 서늘한 곳에 보관하십시오.",1
"개봉 후에는 뚜껑을 닫아 냉장보관하시고, 가급적 빨리 드시기 바랍니다.",0
"용기가 변형, 팽창, 손상되었거나 내용물이 변질되었을 경우 음용하지 마십시오.",0
"노니 원료에 의해 제품 상단부에 갈색 물질이 형성될 수 있으나 품질에는 이상이
없으므로 안심하고 흔들어 드시기 바랍니다.",0
습한 곳에 보관할 경우 병입구나 뚜껑이 오염될 수 있습니다.,0
"유통기한 제품별도표기일까지 포장용기 용기-페트/뚜껑-폴리프로필렌
반품 및 교환 구입처 및 대리점, 판매원, 수입원
본 제품은 공정거래위원회 고시 소비자 분쟁 해결 기준에 의거 교환 및
보상 받을 수 있습니다.",0
"부정·불량식품 신고는 국번없이 1399
제품정보
영양정보 총내용량 1,000ml 100ml 당 40kcal
나트륨 25mg / 1% 탄수화물 10g / 3% 당류 9.5g / 10%
지방 Og / 0% 트랜스지방 Og 포화지방 Og / 0%
콜레스테롤 Omg / 0% 단백질 0g / 0%
*1일 영양성분 기준치에 대한 비율(%)은 2,000kcal
기준이므로 개인의 필요 열량에 따라 다를 수 있습니다.",0
100%,0
"한라봉초
한라봉
제주
JejuNFarm
삼수가기운 한라봉의 상큼한 생과육과 껍이
듬 들어 있고 한라봉 특유의 맛과 향 영양이
으한라봉
한라봇
한라봉
으한라봉
2한라봉
한라봉
doey 있고 한라용 특유의 맛과 향 영양이
인습니다",0
"한라봉
한라봉
한라봉
소포장이되어 먹기가 편한 한다봉차
제주도의 특산품인 한라봉을 썰어서 절임한 치차!
사봉
쥬르륵~
생과육과껍질이 듬뿍 들어 있고 한라봉 특육의 맛과향!
따뜻한차로시원한에이드로도 기호에 따라
드실 수 있습니다.",0
다향하게 즐기는 레시지!,0
"샐러드 드레싱으로사용하셔서 새로운 맛을
즐길 수 있습니다.",0
"요구르트우유,밍수등에 널으면
아이들에게 좋은간식이됩나다.",0
"특별한날칵테일에타서 드시면
새로운 맛과 분위기를느낄실수 있습니다.",0
":제품명: 한라봉차
: 식품유형: 액상차
: 중량 750g(30g:25e)
: 폭목제조보고번호:19980627008-49
원료함량: 한라봉(제주산)50%정백당4479%벌꿀,구연산
내포장재질 폴리에틸렌
음용방법: 본제품 30g을 물(100cg에타서 드십시오.",1
"보관상주의 사항: 직사광선을 피하고 건냉한 곳에 보관하십시오
반품및 교환: 유통과정에서 변질 및 파손된제품은 본사나구입처에서 교환해드립니다.",0
":제조및 판매원: 농업회사법인(주) 제주자연식품 제주특별자치도 제주시 조천읍 함선로 163
: 소비자상담실: 064-7820011
※본제품에 이상이 있을경우, 공정거래위원회고시소비자분쟁해결기준에의거교환 또는 보상을 받으실수 있습니다.",0
"※부정. 불량식품 신고는 국번없이 1399
총25회 제공량(750g)
1회 제공량 1개(30g)당 90.21kcal
1일 영양성분 기준치에 대한 비율
영양성분
30g당
탄수화물 Carbohydrate
6.8%
OHH
22.41g
19.05g
당류 Sugars
0.2%
0.12g
단백질 Protein
0.0%
0.00g
지방 Fat
으한라봉
0.0%
포화지방 Saturated fat
트랜스지방 Trans fat
0.00g
0.00g
0.00mg
1.20mg
0.0%
콜레스테롤 Cholesterol
0.1%
나트륨 Sodium
*%영양소 기준치: 1일 영양소 기준치에 대한 비율
으한라봉
으한라봉
ER
S으한라봉
으한라봉",0
"제품명 | 허쉬 밀크초콜릿
| 식품유형 | 밀크초콜릿
업소명및 | ㈜이마트 02)380-5678
소재지 | 서울시 성동구 뚝섬로 377(성수동2가)
제조사 | THE HERSHEY COMPANY
유통기한| 2019년 10월 01일까지
|내용량 | 99g(540kcal)
|설탕, 전지분유, 코코아매스, 코코아버터,
•보관방법: 직사광선을 피해 건조하고
서늘한곳에 실온 보관하십시오.",0
"•본 제품은 공정거래위원회 고시 소비자 분쟁해결
기준에 의거 교환 또는 보상 받을 수 있습니다.",0
"•부정,불량식품 신고는 국번없이 1399
•반품 및 교환장소: 구입처 및 수입원
제품 전면의 이미지는 소비자 이해를
돕기 위한 이미지 사진으로 실제와
다를 수 있습니다.",0
"|원산지 | 미국
비닐류
PP
총 내용량 99g
540kcal
리(유전자변형 영양정보
|원재료명 |유지방, 대두레시틴
|대두 포함가능성 있음).
천연향료 [우유,대두 함유]
|탄수화물 58g 18% | 당류 54g 54%
|트랜스지방 0.2g |포화지방 19g 127%
|지방 31g 57%
|콜레스테롤 25mg 8%|단백질 7g 13%
1일 영양성분 기준치에 대한 비울(%)은 2,00kcal 기준이므로 개인의 필요 열량에 따라 다를 수 있습니다.",1
포장재질| 폴리프로필렌(내면),0
"|제품명 | 불고기, 잡채용 버섯모음
|내용 및 | 35g
|중량
국내산
원산지
소비자상담실/ 031-527-3912
반품 및 교환 | 구입처
(표고슬라이스 15 g, 목이버섯 20g)
|업소명| 1주|영진농산 / 경기도 남양주시 오남읍 양지로319번길 26-20
포상일 | 포장지 상단 또는 하단에 별도 표기
폴리에틸렌(내면)
포장재질
비닐류
8 '809358 731107
OTHER",0
"10배농축 칸탈로프멜론 가루100%
화학적 제조공정 NO!
맛과 영양을 한번에!
ELTHY
ERTWLNE
FOR A
부미플랜
칸탈로프멜론 가루
칸탈루프멜론
칸탈루프
멜론 추출물 100 %
과· 채가공품 | 250g
제품명 : 칸탈루프 추출물분말 ·원재료 명 및 함량 : 멜론(칸탈루프) 추출물 100%
식품유형 : 과채가공품 ·중량 : 250g ·원산지 : 중국
수입원: (주)하이베이스/ 경기군포시 고산로 166, 103동 B102호 (당정동, SK벤티움)
소분원 : 엠디에프앤픽킹 / 경기도의정부시 전좌로 156번길 6(호원동)
유통전문 판매원 : 헬씨해빗 / 경기도 의정부시 청사로 47번길 18, 302-1호 (금오동, 로얄프라자) ·반품 및 교환: 구입처 또는 판매원
용기(포장)재질 : 고온다",1
"습, 직사광선을 피해 서늘하고 건조한 곳에 보관하십시오.",0
개봉 후에는 가급적 빨리 섭취하시기 바랍니다.,0
"주의사항: 본 제품은 땅콩, 호두, 대두, 우유, 밀 등을 사용한 제품과 같은 소분 시설에서 포장하고 있습니다.",0
제품안에 습기제거제(실리카겔)는 드시지 마십시오.,0
"'본제품은 공정거래위원회 고시소비자 분쟁해결 기준에 의거 교환 또는 보상 받을 수 있습니다. 부정, 불량 식품신고는 국번없이 1399
· 제조원 : SCIYU BIOTECH CO.LTD.
APPYF",0
"보관방법:-18C 이하에서 냉동보관
해동 및 섭취방법:
1. 전자레인지 (770W) 기준-별도의 해동없이 2~
2분30초간 가열 후섭취하십시오.",0
"2. 오븐-별도의 해동없이 150℃에서 5~6분간
가열후섭취하십시오.",0
"제품명 맛있는 숯불 닭꼬치(간장소스 맛)
축산물
| 가공품의 양념욱(살균제품)
유형
| 수입원|(주)이마트 02)380-5678
서울특별시 성동구 뚝섬로377(성수동2개|| 3.에어프라이어 - 별도의 해동없이 180°℃ 에서
| 제조사 CPF (Thailand) Public
Company Limited (EST. 42)
유제품 뒷면 표시일까지 (년/월/일순)
내용명 500g(1,284kcal)
7-8분간 가열후 섭취하십시오.",0
"음이 냉동된바있으니, 해동후재 냉동시키지
마시기 바랍니다.",0
"이 제품은 계란, 우유를 사용한 제품과 같은 제조
·시설에서 제조하고 있습니다.",0
"부정, 불량식품 신고는 국번없이 1399
|전새도 기다리살), 글레이징소스[설탕, 간장(정제수||| 본제품은공정거래위원회고시 소비자 분쟁해결
밀, 정제소금, 설탕), 과당시럽, 정제수, 변
선분 카라멜색소, 식초(정제수, 초산), 마리네 ||| 0반품 및 교환장소:구입체
트정제수, 밀가루, 대두유, 포도당수화물, 설탕
증진제(L글루탐산나트륨), 트레할로스,폴 | 영양정보
리인산나트륨, 간장(정제수, 대두, 밀, 정제소금,
주정당밀,정제수), 코지(코지, 옥수수전분(유전 || |나트를
자변형옥수수포함가능성있음), 감자전분)| 탄수화물
|흰후추분말, 정제소금]
기준에 의거 교환 또는 환불받을 수 있습니다.",1
"총 내용량 600g
100g 당 214kcal
기준치에 대한 바율
27%
3%
10%
19%
10 여야서브
1근000ㄷ
100g 당
530mg
11 g
10 g
10 g
트랜스지방 0.03 g
포화지방 2.4g
CTTE
닭고기, 대두, 밀 함유
포장제질 나포장-폴리에틸원
16%
32%
36%
클레스E를
비닐류
95 mg
20 g
1일 영양성분 기준치에 대한 비울(%)는
2,000kcal 기준이므로 개인의 필요 열량에
따라 다를 수 있습니다.",0
"OTHER
Ouality CP
Y
Product By
Prodoct of Thailand",0
"01
제품명
휘오 다이아몬드 EC 2L X 6
식품의유형
먹는샘물
원수원 : 암반대수층지하수
수원지 : 강원도 철원군 근남면 육단리 490-1번지
제조원 : 해태음료(주) 강원도 철원군 근남면 하문수동길 93
생산자 및 소재지
제조년월일, 유통기한
또는 품질유지기한
제조일로부터 12개월
포장단위별 용량(중량), 수량
2L(PET) X6
해당없음
원제료명 및 함량
무기질함량(mg/L)
칼슘(Ca) : 22.57~23.18, 나트륨(Na) : 6.05-6.09, 칼륨(K) : 0.65-0.73,
마그네슘(K):1.52~1.55, 불소(F) : 0.62-0.64
영양성분
소비자상담 관련 전화번호
080-024-5999
02
제품명
휘오 다이아몬드 EC 2LX9
식품의 유형
먹는샘물
옵션
원수원 : 암반대수층지하수
수원지 : 강원도 철원군 근남면 육단리 490-1번지
제조원 : 해태음료(㈜) 강원도 철원군 근남면 하문수동길 93
생산자 및 소재지
제조년월일, 유통기한
제조일로부터 12개월
또는 품질유지기한
포장단위별 용량(중량), 수량
2L(PET) X 9
원제료명 및 함량
해당없음
무기질함량(mg/L)
칼슘(Ca) : 22.57~23.18, 나트륨(Na) : 6,05~6.09, 칼륨(K) : 0.65-0.73,
마그네슘(K):1.52~1.55, 불소(F) : 0.62-0.64
영양성분
소비자상담 관련 전화번호
080-024-5999
03
제품명
휘오 다이아몬드 EC 2LX 12
먹는샘물
식품의 유형
옵션
원수원 : 암반대수총지하수
수원지 : 강원도 철원군 근남면 육단리 490-1번지
제조원 : 해태음료(㈜) 강원도 철원군 근남면 하문수동길 93
생산자 및 소재지
제조년월일, 유통기한
또는 품질유지기한
제조일로부터 12개월
포장단위별 용량(중량), 수량
2L(PET) X 12
해당없음
원제료명 및 함량
무기질함량(mg/L)
칼슘(Ca) : 22.57~23.18, 나트륨(Na) : 6.05~6.09, 칼륨(K) : 0.65~0.73,
마그네슘(K): 1.52~1.55, 불소(F) : 0.62-0.64
영양성분
소비자상담 관련 전화번호
080-024-5999
042
제품명
휘오 다이아몬드 EC 500ml X 20
먹는샘물
식품의유형
옵션
원수원 : 암반대수층지하수
수원지 : 강원도 철원군 근남면 육단리 490-1번지
제조원 : 해태음료(㈜) 강원도 철원군 근남면 하문수동길 93
생산자 및 소재지
제조년월일, 유통기한
또는 품질유지기한
제조일로부터 12개월
포장단위별 용량(중량), 수량
500ml(PET) X 20
원제료명 및 함량
해당없음
무기질함량(mg/L)
칼슘(Ca) : 22.57~23.18, 나트륨(Na) : 6.05~6.09, 칼륨(K) : 0.65-0.73,
마그네슘(K):1.52-1.55, 불소(F) : 0.62-0.64
영양성분
소비자상담 관련 전화번호
080-024-5999
05
제품명
휘오 다이아몬드 EC 300ml X 20
식품의 유형
먹는샘물
옵선
원수원 : 암반대수층지하수
수원지 : 강원도 철원군 근남면 육단리 490-1번지
제조원 : 해태음료(주) 강원도 철원군 근남면 하문수동길 93
생산자및 소재지
제조년월일, 유통기한
또는 품질유지기한
제조일로부터 12개월
포장단위별 용량(중량), 수량
300ml(PET) X 20
해당없음
원제료명 및 함량
무기질함량(mg/L)
칼슘(Ca) : 22.57~23.18, 나트륨(Na) : 6.05~6.09, 칼륨(K) : 0.65-0.73
마그네슘(K):1.52~1.55, 불소(F) : 0.62-0.64
영양성분
소비자상담 관련 전화번호
080-024-5999",1
"Home
made
69 큐원홈메이드
소중한 마음을 전하는
큐원 초코스틱만들기세트
HOMEMADE DIY CHOCOSTICK
초코스딕만출판
r
(Htome
made
소중한 마음을 전하는
초코스틱만들기세트
HOMEMADE DIY CHOCOSTICK
Homemade Recipe
.Prepare Chocolate
&Melt Checelate
맛한에 주어를 넣고 손으로 조
자주며초릿 을 녹여
줍니다.",0
"2. Make Choco Stiek
0주어니 이용하기
입구를 후미나롱스
줍니다.",0
"0드용기
B 로후
리고은 공을 으 다.
.",0
"Pack Choce Stiek
250 g
조리에
Home
made
소중한 마음을 전하는
초코스틱만들기세트
HOMEMADE DIY CHOCOSTICK
Homemade Recipe
I. Prepare Chocolate
&Melt Chocolate
따뜻한 물에 짤주머니를 넣고 손으로 조물조물
만져주며 초콜릿 덩어리가 없을 때까지 녹여
줍니다.",0
"2. Make Choco Stic
① 짤주머니 이용하기
긴 컵에 녹은 초콜릿이 담긴 짤주머니를 넣고
입구를 펼친 후 미니롱스틱을 담궈 초콜릿 옷을
입혀줍니다.",0
"② 몰드 이용하기
몰드의 반정도를 초콜릿으로 채운 후 미니롱스틱을
올리고 남은 공간을 초콜릿으로 채워줍니다.",0
"3. Pack Choco Stick
동봉된 포장 봉투에 완성된 초코스틱을 넣어
예쁘게 포장합니다.",0
"조리예
250 g
'초코스틱 만들기 세트는
초코스틱 만들기 레시피 카드가 들어 있어 초보자도 손쉽게 만들 수 있습니다.
DIY에 적합한 초콜릿이 들어 있어 복잡한 과정(템퍼링) 없이도 부드럽고
광택이 좋은 초코스틱을 만들 수 있습니다.
초코스틱 만드는 방법이 자세히 설명된 설명서가 들어 있어 초보자도
손쉽게 만들 수 있습니다.
초코스틱만들기
구성용품
짤주머니 /
짤주머니 마개
초코스틱 몰드
미니롱스틱
다크/화이트 컴파운드버튼
포장봉투
데코펜 핑크
Home
초코스틱만들기레시피made
소중한 마음을 전하는
HOMEMADE- SINCE 19
HOMEMADE DIY CHOCOSTICK
1. 초콜릿 녹이기
짤주머니에 초콜릿을 각각 넣은 뒤 끝을 살짝 돌려
짤주머니 마개로 묶어 줍니다.
짤주머니에 넣은 초콜릿을 따뜻한 물(60도 이하의 약간
김이 날 정도) 에 넣고 손으로 조물조물 만져 덩어리가
없도록 녹여줍니다. 데코펜 핑크도 함께 녹여 줍니다.
2. 초코스틱 만들기
① 짤주머니 이용하기
긴 컵이나 텀블러에 짤주머니를 넣고 입구를 펼쳐줍니다.
미니롱스틱을 초콜릿에 담궈 옷을 입혀 줍니다.
빼낼 때 돌돌 돌려주면서 초콜릿을 얇게 입혀 줍니다.
두꺼울 경우 건조 시 흐르거나 모양이 깔끔하지 않을 수 있으니
주의해 주세요.
견과나 스프링클 등으로 데코할 경우 초콜릿이 마르기전에
예쁘게 뿌려주시고 데코펜 등 초콜릿으로 장식하려면 잠시
말린 후 예쁘게 모양을 내면 됩니다.
짤주머니 이용
| 초코스틱만들기세트는 미니롱스틱이
기본으로 25개 제공되며 여유분
| 5~6개를 추가로 제공합니다.
작업한 초코스틱은 유산지나 종이호일 위에 올려
잘 말려 줍니다.
Tip
초콜릿이 작업하는 라정 중 굳을 수 있으니 점에 파뜻한 물을 담그면 좋아요
② 몰드 이용하기
몰드 중앙부터 짤주머니를 꾹 누르며 초콜릿을 짜줍니다.
초콜릿을 몰드 반정도 채운 후 미니롱스틱을 올려 준 뒤에
초콜릿으로 몰드를 꽉 채워줍니다.
냉장고에 약 10분~15분 정도
보관한 뒤 살짝 떼어 주세요.
미니롱스틱의 끝부분만 잡고
떼어낼 경우 스틱이 부러질 수
있으니 주의하세요!
모양 만들기
Tip.
짤주머니 끝을 조금만 잘라주세요 (약2m),
너무 많이 자르면 양 조절이 힘듭니다.
초코스틱 몰드
3. 선물 포장하기
동봉된 비닐 포장재를 이용해
예쁘게 포장합니다.
초코스틱 완성
떼쁘게 조장하기
부러진 미니롱스틱 사용하기!
부러진 미니롱스틱을 손쉽게 붙이려면, 부러진 부분에 초콜릿을 살짝 바른 후 잠시
말려 주시면 감쪽같이 붙어 다시 사용할 수 있습니다.
만드는도중 초콜릿이굳을 경우 짤주머니 끝부분의 구멍을 막은 후, 헤어드라이의
따뜻한 바람을 쐬어 녹여주거나 위생봉지에 굳은 짤주머니를 넣고 따뜻한 물에서
다시 중탕하여 녹여줍니다. 초콜릿은 수분과 만나면 굳어버리는 성질이 있으므로
짤주머니 겉면의 물기는 반드시 제거해 주시고 중탕시 초콜릿에 물이 들어가지
않도록 주의해주세요.
<구성품>
미나롱스틱
과자
|다크 컴파운드 버튼 SLD-3409 | 화이트 컴파운드 버튼 SLW-3200
캔디류(캐러멜)
제품명
제품명
식품유형
업소명 및 (주)보성식품 충북 청주시 서원구
소재지
준초콜릿
식품유형
제조원
AALST CHOCOLATE PTE LTD
남이면 남이외천길 39-14
미립물산(㈜ 경기도 용인시 기흥구
지삼로250번길 10(지곡동, 가동 2층)
오성비엔에프 경기도 안산시 단원구 해봉로 203104동
수입원
내용량
80 g (365 kcal)
소분원
밀가루(밀 : 미국, 호주), 식물성유지
(팜유 : 말레이시아), 설탕, 옥수수
전분(옥수수(외국산 : 러시아, 헝가리,
세르비아 등), 포도당, 정제소금, 탄산
수소암모늄, 탄산수소나트륨, 합성향료
(바닐린), 효소제
밀 함유
내용량
원산지
75 g (425 kcal)
75g (410kcal)
원재료명
싱가포르
|설탕, 식물성유지(팜유), | 설탕,식물성유지(팜유), 유청
코코아파우더,레시틴, 합성 | 분말, 탈지분유, 레시틴, 합성
|향료(바닐린) 대두 함유 |향료(바닐린) 대두,우유함유
원재료명
포장재질
품목보고번호
폴리에틸렌
|포장재질(내면)
폴리에틸렌
1998041503960
초코스틱몰드
짤주머니
짤주머니마개
2개
포장봉투
15개
데코펜핑크
제품명
식품유형
업소명 및 (주)토스크 경기도파주시 탄현면
소재지
제품명
수량
1개
2개
식물성 크림
<공통>
|장릉로도 85번길 97-6
(주)삼양사 경기도성남시분당구판교로 295
판매원
내용량
20g
유통기한 | 제품측면표시일까지
•본제품은 메밀, 땅콩,고등어, 게 새우, 돼지고기, 복숭아 토마토,호두, 난류, 닭고기,
쇠고기, 오징어, 아황산류, 잣, 조개류(굴, 전복, 흥합 포함)가 사용된 동일
설비에서 제조, 소분되었습니다.
· 직사광선을 피하고서늘한곳에 상온보관해 주십시오.
초콜릿류의 경우유통중표면이 녹아하얀반점이 생길수있으나, 인체에무해하니
드셔도괜찮습니다.
·본제품은 소비자분쟁해결기준에의거 교환또는 보상 받을수 있습니다.
·부정불량식품신고는국번없이 1399
·고객상담실: 080-023-3399(수신자요금부담)
식물성크림[설탕, 가공유지
{팜핵경화유(말레이시아)),
레시틴, 합성향료(바닐린,
원재료명 바닐라향, 초코향)], 정제야
|자유(외국산:인도네시아,
말레이시아, 필리핀 등),
비트레드 대두함유
|포장재질(내면) 용가·폴리에틸렌(PE), 뚜껑-폴리프로필렌(P)
품목보고번호
20070355307600
samyang
삼양사
EELELER
SIYOU",1
알려드립니I다!,0
"MAMANGS FOLIC ACID 600
제품에는 유동방지망이 포함되어 있습LI다.",0
"유동방지망으로 고정시켜, 포프리 제품 특성상 샘길 수 있는
정제의 부러짐과 가루날림을 최소화하였습니I다.",0
작은 것해나에도 마망스는당신을생각합니다.,0
"[기능정보]
(1일 섭취량: 1정 기준)
한국인영양섭취기준
대비%(임신부)
기능
성분
함량
태아 신경관의 정상 발달에 필요
세포와 혈액생성에 필요
혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
엽산
600Hg
97%
단백질 및 아미노산 이용에 필요
혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
비타민B6
2.3g
105%
정상적인 엽산대사에 필요
비타민B12
12mg
462%
건강정보
※본 건강정보는 제품정보와 관련 없는 L내용입니다.",0
"엽산, 왜 섭취해야 할까요?",0
"조리하는과정에서 쉽게 손실되는엽산
엽산은 비타민B군에 속하는 수용성 비IE민의 일종으로
시금치와 같은 녹황색 채소에풍부하게 함유되어있으나
가공을 하게 되면 엽산의 50~95% 가량이 파괴되기 때문에
필요한 양을 섭취해 주는 것이 좋습LI다.",0
"임신줌 엽산이 부족하다면?
임신중에는 태아 신경관의 정상 발달을도와주기 위해 엽산이 요구됩니I다.",0
"엽산은 세포분열 많이 일어나는 유아기, 성장기, 임신기, 수유기에
필요량이 매우 증가하며 이 시기에 엽산이 부족하기 쉽습LI다.",0
"엽산 섭취량이 부족하게되면 가장 먼저 혈청 엽산 농도가 감소하고,
점차 적혈구 엽산 농도가 감소하며, 호모시스테인의 농도는 증가합LI다.",0
"출처) 식품의익품안전처
임신주기별 엽산권장 섭취량
임신시기
설명
권장 섭치량
임신을 준비하는 단계에서부터 충분한 엽산을 섭취하는 것이 좋습니다.",0
"400
임신전
엽산은 임신 한 달 이내에 태아 신경관의 정상발달에 중요한 역할을 하며
임신 초기에는 필요로 하는 엽산의 양이 증가하므로 임신 전 권장량보다
많은 양인 600 ug ~800 μg을 섭취하는 것이 좋습니다.",0
"600 800ug
임신기
출산 후 모유수유를 하는 경우에는 모유로 많은 양의 엽산을 분비하게 되므로
비임신, 비수유 여성보다 엽산의 필요량이 증가합니다.",0
"수유부의 경우 하루의
엽산을 섭취하는 것이 좋습니다.",0
